걸음;타임스탬프;날짜;시간
131;1539405660000;2018. 10. 13.;오후 1:41:00
131;1539406260000;2018. 10. 13.;오후 1:51:00
131;1539406860000;2018. 10. 13.;오후 2:01:00
131;1539407460000;2018. 10. 13.;오후 2:11:00
150;1539408060000;2018. 10. 13.;오후 2:21:00
282;1539408660000;2018. 10. 13.;오후 2:31:00
282;1539409260000;2018. 10. 13.;오후 2:41:00
295;1539409860000;2018. 10. 13.;오후 2:51:00
300;1539410460000;2018. 10. 13.;오후 3:01:00
331;1539411060000;2018. 10. 13.;오후 3:11:00
362;1539411660000;2018. 10. 13.;오후 3:21:00
362;1539412260000;2018. 10. 13.;오후 3:31:00
362;1539412860000;2018. 10. 13.;오후 3:41:00
362;1539413460000;2018. 10. 13.;오후 3:51:00
362;1539414060000;2018. 10. 13.;오후 4:01:00
362;1539414660000;2018. 10. 13.;오후 4:11:00
362;1539415260000;2018. 10. 13.;오후 4:21:00
362;1539415860000;2018. 10. 13.;오후 4:31:00
362;1539416460000;2018. 10. 13.;오후 4:41:00
362;1539417060000;2018. 10. 13.;오후 4:51:00
379;1539417660000;2018. 10. 13.;오후 5:01:00
408;1539418260000;2018. 10. 13.;오후 5:11:00
436;1539418860000;2018. 10. 13.;오후 5:21:00
499;1539419460000;2018. 10. 13.;오후 5:31:00
548;1539420060000;2018. 10. 13.;오후 5:41:00
636;1539420660000;2018. 10. 13.;오후 5:51:00
655;1539421260000;2018. 10. 13.;오후 6:01:00
683;1539421860000;2018. 10. 13.;오후 6:11:00
683;1539422460000;2018. 10. 13.;오후 6:21:00
683;1539423060000;2018. 10. 13.;오후 6:31:00
683;1539423660000;2018. 10. 13.;오후 6:41:00
683;1539424260000;2018. 10. 13.;오후 6:51:00
683;1539424860000;2018. 10. 13.;오후 7:01:00
683;1539425460000;2018. 10. 13.;오후 7:11:00
683;1539426060000;2018. 10. 13.;오후 7:21:00
683;1539426660000;2018. 10. 13.;오후 7:31:00
683;1539427260000;2018. 10. 13.;오후 7:41:00
683;1539427860000;2018. 10. 13.;오후 7:51:00
683;1539428460000;2018. 10. 13.;오후 8:01:00
683;1539429060000;2018. 10. 13.;오후 8:11:00
683;1539429660000;2018. 10. 13.;오후 8:21:00
683;1539430260000;2018. 10. 13.;오후 8:31:00
